arc|Klasa API: Arc. Właściwości (Properties): Arc, AcadObject, Annotative, Area, AutoDelete, BlockId, BlockName, Bounds, CastShadows, Center, ClassID, CloneMeForDragging, Closed, CollisionType, Color, ColorIndex, CompoundObjectTransform, Database, Drawable, DrawableType, Ecs, EdgeStyleId, EndAngle, EndParam, EndPoint, EntityColor, ExtensionDictionary, FaceStyleId, ForceAnnoAllVisible, GeometricExtents, Handle, HasFields, HasSaveVersionOverride, Hyperlinks, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPeriodic, IsPersistent, IsPlanar, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, Layer, LayerId, Length, Linetype, LinetypeId, LinetypeScale, LineWeight, Material, MaterialId, MaterialMapper, MergeStyle, Normal, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, PlotStyleName, PlotStyleNameId, Radius, ReceiveShadows, Spline, StartAngle, StartParam, StartPoint, Thickness, TotalAngle, Transparency, UndoFiler, UnmanagedObject, Visible, VisualStyleId, XData, AddContext, AddPersistentReactor, AddSubentityPaths, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteSubentityPaths, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, Draw, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Explode, ExplodeGeometry, ExplodeGeometryToOwnerSpace, Finalize, GetDistanceAtParameter, GetDistAtPoint, GetEventExtender, GetField, GetGeCurve, GetGraphicsMarkersAtSubentityPathIntPtr, GetGripPointsAtSubentityPath, GetHashCode, GetLifetimeService, GetOffsetCurves, GetOffsetCurvesGivenPlaneNormal, GetOrthoProjectedCurve, GetParameterAtDistance, GetParameterAtPoint, GetPersistentReactorIds, GetPlane, GetPointAtDist, GetPointAtParameter, GetProjectedCurve, GetReactors, GetRXClass, GetStretchPoints, GetSubentity, GetSubentityGeometricExtents, GetTransformedCopy, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, Highlight, InitializeLifetimeService, IsContentSnappable, JoinEntities, JoinEntity, List, MemberwiseClone, MoveGripPointsAtSubentityPaths, MoveStretchPointsAt, QueryX, RecordGraphicsModified, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, ReverseCurve, SaveAs, SetAttributes, SetDatabaseDefaults, SetDragStatus, SetFromStyle, SetGripStatus, SetLayerId, SetObjectIdsInFlux, SetPaperOrientation, SetPropertiesFrom, SetSubentityGripStatus, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, TransformBy, TransformSubentityPathsBy, Unhighlight, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the Arc class...
datalink|Klasa API: DataLink. Właściwości (Properties): DataLink, AcadObject, Annotative, AutoDelete, Bounds, ClassID, ConnectionString, DataAdapterId, Database, DataLinkOption, Description, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsValid, IsWriteEnabled, MergeStyle, Name, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, ToolTip, UndoFiler, UnmanagedObject, UpdateOption, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgOut, DxfIn, DxfOut, Equals, Erase, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetSourceFiles, GetTargets, GetTransientReactors, GetType, GetUpdateStatus, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, RepathSourceFiles, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SupportsCollection, SwapIdWith, SwapReferences, ToString, Update, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the DataLink class...
datatable|Klasa API: DataTable. Właściwości (Properties): DataTable, AcadObject, Annotative, AutoDelete, Bounds, ClassID, Database, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, NumColsGrowSize, NumColsPhysicalSize, NumColumns, NumRows, NumRowsGrowSize, NumRowsPhysicalSize, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, TableName, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, AppendColumn, AppendRow, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Assign, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, GetCellAt, GetColumnAt, GetColumnIndexAtName, GetColumnNameAt, GetColumnTypeAt, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRowAt, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, InsertColumnAt, InsertRowAt, MemberwiseClone, QueryX, ReleaseExtensionDictionary, RemoveColumnAt, RemoveContext, RemoveField, RemovePersistentReactor, RemoveRowAt, ResetScaleDependentProperties, SetAttributes, SetCellAt, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SetRowAt, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the DataTable class...
dbdictionary|Klasa API: DBDictionary. Właściwości (Properties): DBDictionary, AcadObject, Annotative, AutoDelete, Bounds, ClassID, Count, Database, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IDictionary_IsFixedSize, IDictionary_IsReadOnly, IDictionary_IsSynchronized, IDictionary_Item, IDictionary_Keys, IDictionary_SyncRoot, IDictionary_Values, IncludingErased, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsFixedSize, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReadOnly, IsReallyClosing, IsSynchronized, IsTransactionResident, IsUndoing, IsWriteEnabled, Item, Keys, MergeStyle, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, SkipDeleted, SyncRoot, TreatElementsAsHard, UndoFiler, UnmanagedObject, Values, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, Copy, CopyFrom, CopyTo, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, GetAt, GetEnumerator, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, ICollection_CopyTo, IDictionary_Add, IDictionary_Clear, IDictionary_Contains, IDictionary_GetEnumerator, IDictionary_Remove, IEnumerable_GetEnumerator, InitializeLifetimeService, MemberwiseClone, NameAt, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SetAt, SetAttributes, SetFromStyle, SetName, SetObjectIdsInFlux, SetPaperOrientation, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the DBDictionary class...
dbvisualstyle|Klasa API: DBVisualStyle. Właściwości (Properties): DBVisualStyle, AcadObject, Annotative, AutoDelete, Bounds, ClassID, Database, Description, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, InternalUseOnly, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, Name, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, Type, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyTo, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTrait, GetTraitFlag, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, MemberwiseClone, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SetTraitFlag, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the DBVisualStyle class...
dimassoc|Klasa API: DimAssoc. Właściwości (Properties): DimAssoc, AcadObject, Annotative, AssocFlag, AutoDelete, Bounds, ClassID, Database, DimObjId, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, RotatedType, TransSpatial, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, AddToDimensionReactor, AddToPointRefReactor, ApplyPartialUndo, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, Copied, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgOut, DxfIn, DxfOut, Equals, Erase, GetDimAssocGeomIds, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, IsAllGeomErased, ModifiedGraphics, OpenedForModify, PointRef, QueryX, ReleaseExtensionDictionary, RemoveAssociativity, RemoveContext, RemoveField, RemovePersistentReactor, RemovePointRef, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SetPointRef, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpdateDimension, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the DimAssoc class...
drawordertable|Klasa API: DrawOrderTable. Właściwości (Properties): DrawOrderTable, AcadObject, Annotative, AutoDelete, BlockId, Bounds, ClassID, Database, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, FirstEntityIsDrawnBeforeSecond, GetEventExtender, GetField, GetFullDrawOrder, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRelativeDrawOrder, GetRXClass, GetSortHandle, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, MemberwiseClone, MoveAbove, MoveBelow, MoveToBottom, MoveToTop, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SetRelativeDrawOrder, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapOrder, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the DrawOrderTable class...
filter|Klasa API: Filter. Właściwości (Properties): Filter, AcadObject, Annotative, AutoDelete, Bounds, ClassID, Database, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IndexClass, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, MemberwiseClone, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the Filter class...
index|Klasa API: Index. Właściwości (Properties): AcadObject, Annotative, AutoDelete, Bounds, ClassID, Database, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsUptoDate, IsWriteEnabled, LastUpdatedAt, LastUpdatedAtU, MergeStyle, ObjectBeingIndexedId, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, GetEventExtender, GetField, GetHashCode, GetIterator, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, MemberwiseClone, QueryX, RebuildFull, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Creates an object that contains all the relevant information required to generate a proxy used to communicate with a remote object....
geolocationdata|Klasa API: GeoLocationData. Właściwości (Properties): GeoLocationData, AcadObject, Annotative, AutoDelete, BlockTableRecordId, Bounds, ClassID, CoordinateProjectionRadius, CoordinateSystem, Database, DesignPoint, DoSeaLevelCorrection, Drawable, DrawableType, ExtensionDictionary, GeoRSSTag, Handle, HasFields, HasSaveVersionOverride, HorizontalUnits, HorizontalUnitsScale, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, NorthDirection, NorthDirectionVector, NumMeshPoints, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, ReferencePoint, ScaleEstimationMethod, ScaleFactor, SeaLevelElevation, TypeOfCoordinates, UndoFiler, UnmanagedObject, UpDirection, VerticalUnits, VerticalUnitsScale, XData, AddContext, AddMeshPointMap, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, EraseFromDb, Finalize, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetMeshPointMap, GetMeshPointMaps, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, MemberwiseClone, PostToDb, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetMeshPointMaps, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetMeshPointMaps, SetObjectIdsInFlux, SetPaperOrientation, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, TransformFromLonLatAlt, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the GeoLocationData class...
group|Klasa API: Group. Właściwości (Properties): Group, AcadObject, Annotative, AutoDelete, Bounds, ClassID, Database, Description, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAnonymous, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotAccessible, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, Name, NumEntities, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, Selectable, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clear, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, GetAllEntityIds, GetEventExtender, GetField, GetHashCode, GetIndex, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, Has, HasContext, HasPersistentReactor, InitializeLifetimeService, MemberwiseClone, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, Replace, ResetScaleDependentProperties, Reverse, SetAnonymous, SetAttributes, SetColor, SetColorIndex, SetFromStyle, SetHighlight, SetLinetypeScale, SetObjectIdsInFlux, SetPaperOrientation, SetVisibility, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, Transfer, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the Group class...
linkeddata|Klasa API: LinkedData. Właściwości (Properties): LinkedData, AcadObject, Annotative, AutoDelete, Bounds, ClassID, Database, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAProxy, IsCancelling, IsDisposed, IsEmpty, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, Name, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clear, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, MemberwiseClone, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the LinkedData class...
