arc|Klasa API: Arc. Właściwości (Properties): Arc, AcadObject, Annotative, Area, AutoDelete, BlockId, BlockName, Bounds, CastShadows, Center, ClassID, CloneMeForDragging, Closed, CollisionType, Color, ColorIndex, CompoundObjectTransform, Database, Drawable, DrawableType, Ecs, EdgeStyleId, EndAngle, EndParam, EndPoint, EntityColor, ExtensionDictionary, FaceStyleId, ForceAnnoAllVisible, GeometricExtents, Handle, HasFields, HasSaveVersionOverride, Hyperlinks, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPeriodic, IsPersistent, IsPlanar, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, Layer, LayerId, Length, Linetype, LinetypeId, LinetypeScale, LineWeight, Material, MaterialId, MaterialMapper, MergeStyle, Normal, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, PlotStyleName, PlotStyleNameId, Radius, ReceiveShadows, Spline, StartAngle, StartParam, StartPoint, Thickness, TotalAngle, Transparency, UndoFiler, UnmanagedObject, Visible, VisualStyleId, XData, AddContext, AddPersistentReactor, AddSubentityPaths, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteSubentityPaths, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, Draw, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Explode, ExplodeGeometry, ExplodeGeometryToOwnerSpace, Finalize, GetDistanceAtParameter, GetDistAtPoint, GetEventExtender, GetField, GetGeCurve, GetGraphicsMarkersAtSubentityPathIntPtr, GetGripPointsAtSubentityPath, GetHashCode, GetLifetimeService, GetOffsetCurves, GetOffsetCurvesGivenPlaneNormal, GetOrthoProjectedCurve, GetParameterAtDistance, GetParameterAtPoint, GetPersistentReactorIds, GetPlane, GetPointAtDist, GetPointAtParameter, GetProjectedCurve, GetReactors, GetRXClass, GetStretchPoints, GetSubentity, GetSubentityGeometricExtents, GetTransformedCopy, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, Highlight, InitializeLifetimeService, IsContentSnappable, JoinEntities, JoinEntity, List, MemberwiseClone, MoveGripPointsAtSubentityPaths, MoveStretchPointsAt, QueryX, RecordGraphicsModified, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, ReverseCurve, SaveAs, SetAttributes, SetDatabaseDefaults, SetDragStatus, SetFromStyle, SetGripStatus, SetLayerId, SetObjectIdsInFlux, SetPaperOrientation, SetPropertiesFrom, SetSubentityGripStatus, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, TransformBy, TransformSubentityPathsBy, Unhighlight, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the Arc class...
bimification|Klasa API: BIMClassification. Właściwości (Properties): BIMClassification, AutoDelete, IsDisposed, UnmanagedObject, ClassifyAs, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetAllClassified, GetAllClassifiedAs, GetAllUnclassified, GetAllUsedClassifications, GetClassification, GetDescription, GetHashCode, GetLifetimeService, GetName, GetPropertiesMap, GetPropertiesString, GetProperty, GetType, HasProperty, InitializeLifetimeService, IsClassifiedAs, IsClassifiedAsAnyBuildingElement, IsUnclassified, MemberwiseClone, SetDescription, SetName, SetProperty, ToString, UnClassify. Opis: Initializes a new instance of the BIMClassification class...
bimdialogs|Klasa API: BIMDialogs. Właściwości (Properties): BIMDialogs, AutoDelete, IsDisposed, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ShowBuildingsManagerDialog, ShowCompositionsDialog, ShowMaterialsDialog, ShowProjectDialog, ToString. Opis: Initializes a new instance of the BIMDialogs class...
biminformationalassets|Klasa API: BIMInformationalAssets. Właściwości (Properties): BIMInformationalAssets, AutoDelete, Classification, Cost, IsDisposed, Keynote, Label, Manufacturer, Mark, Model, UniqueCode, UnmanagedObject, Url, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, IsNull, MemberwiseClone, SetNull, ToString. Opis: Initializes a new instance of the BIMInformationalAssets class...
bimlineargeometry|Klasa API: BIMLinearGeometry. Właściwości (Properties): BIMLinearGeometry, AutoDelete, IsDisposed, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetAssignedProfile, GetAxis, GetClippingFaces, GetExtrusionPath, GetHashCode, GetId, GetLifetimeService, GetProfile, GetSideFaces, GetType, InitializeLifetimeService, IsValid, MemberwiseClone, SetId, ToString. Opis: Initializes a new instance of the BIMLinearGeometry class...
bimobject|Klasa API: BIMObject. Właściwości (Properties): BIMObject, AutoDelete, Description, GetTypeDesc, GetTypeName, IsDisposed, Name, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, IsNull, MemberwiseClone, SetNull, ToString. Opis: Initializes a new instance of the BIMObject class...
bimphysicalassets|Klasa API: BIMPhysicalAssets. Właściwości (Properties): BIMPhysicalAssets, AutoDelete, Density, IsDisposed, SpecificHeat, ThermalConductivity, UnmanagedObject, ClearDensity, ClearSpecificHeat, ClearThermalConductivity, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, HasDensity, HasSpecificHeat, HasThermalConductivity, InitializeLifetimeService, IsNull, MemberwiseClone, SetNull, ToString. Opis: Initializes a new instance of the BIMPhysicalAssets class...
bimpolicies|Klasa API: BIMPolicies. Właściwości (Properties): BIMPolicies, AutoDelete, IsDisposed, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ToString. Opis: Initializes a new instance of the BIMPolicies class...
bimprofile|Klasa API: BIMProfile. Właściwości (Properties): BIMProfile, AutoDelete, GetDescription, GetName, GetShape, GetStandard, IsDisposed, UnmanagedObject, AddProfileFromXML, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetAllAssignedObjects, GetAllLibraryProfiles, GetAllProfileNames, GetAllProfiles, GetAllProfileSizes, GetAllProfileStandards, GetAssignedProfile, GetDescriptionProfile, GetHashCode, GetLifetimeService, GetNameProfile, GetProfile, GetProfileCurves, GetShapeProfile, GetStandardProfile, GetType, InitializeLifetimeService, IsValid, MemberwiseClone, RemoveProfileFrom, SetFromId, ToString. Opis: Initializes a new instance of the BIMProfile class...
gradingrule|Klasa API: GradingRule. Właściwości (Properties): GradingRule, AutoDelete, IsDisposed, IsNull, Side, SlopeFormat, Type, UnmanagedObject, ConvertRadToSlope, ConvertSlopeToRad, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ToString. Opis: Initializes a new instance of the GradingRule class...
tinsurfaceconstraint|Klasa API: TinSurfaceConstraint. Właściwości (Properties): AutoDelete, ConstraintId, ConstraintType, Data, IsDbResident, IsDisposed, MidOrdinateDistance, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ToString. Opis: Creates an object that contains all the relevant information required to generate a proxy used to communicate with a remote object....
tinsurfaceobject|Klasa API: TinSurfaceObject. Właściwości (Properties): TinSurfaceObject, AutoDelete, IsDisposed, Surface, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ToString. Opis: Initializes a new instance of the TinSurfaceObject class...
auditflaw|Klasa API: AuditFlaw. Właściwości (Properties): AutoDelete, Description, IsDisposed, Message, Severity, Subents, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ToString. Opis: Creates an object that contains all the relevant information required to generate a proxy used to communicate with a remote object....
auditoperation|Klasa API: AuditOperation. Właściwości (Properties): AuditOperation, AutoDelete, IsDisposed, Options, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, Run, ToString. Opis: Initializes a new instance of the AuditOperation class...
auditreport|Klasa API: AuditReport. Właściwości (Properties): AutoDelete, FlawCount, IsDisposed, IsFixMode, Level, TotalChecked, TotalFixed, TotalSkipped, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ToString. Opis: Creates an object that contains all the relevant information required to generate a proxy used to communicate with a remote object....
